description,label,releasetime,title
中国央行连续第三天调降人民币中间价，且离岸资金外流又出现活络迹象，人民币兑一篮子货币的贸易加权汇率，周三已跌至空前...,,2017-04-27 16:00,加拿大丰业银行：人民币年底或贬至7.10水平
周四(4月27日)亚太时段，多数新兴亚币兑美元走软，因美国总统特朗普税改计划并未如预期提振投资者信心，市场风险偏好依旧...,,2017-04-27 15:59,新兴亚洲货币表现疲软 谨慎情绪静待欧央行利率决议
今天上午，根据巴克莱银行（Barclays）公布的一项调查显示，英镑疲弱刺促使更多海外游客计划到英国旅游，英国人则更不愿意出...,,2017-04-27 15:38,调查：英镑疲弱利好英国旅游业
美东时间周三中午，美国总统特朗普在与墨西哥和加拿大领导人通电话后表示，同意暂时不终止北美自由贸易协定(NAFTA)。,,2017-04-27 15:15,又玩了一把！特朗普暂时不终止北美贸易协定
特朗普政府周三(4月26日)公布了所谓的美国历史上“规模最大的减税计划”，但公布内容只有要点，如何通过立法，如何具体实施...,,2017-04-27 14:36,NCL：税改计划空洞无物 美元或将继续承压
周四（4月27日），因早间有报道称美国总统特朗普将暂不终止北美自由贸易协定，加元和墨西哥比索短线大幅飙升，美元兑加元脱...,,2017-04-27 14:20,特朗普暂不终止北美自贸协定 墨西哥比索及加元闻讯飙升
周四亚盘，有消息称美国总统特朗普目前不终止北美贸易协定，美元兑加元短线大幅下挫逾100点，法农认为，特朗普总统似乎淡化...,,2017-04-27 14:14,法农：贸易紧张局势打压加元 仍不宜追多美加
北京时间周四（4月27日）19:45，欧洲央行将公布利率决议；稍后20:30，有“超级马里奥”之称的欧洲央行行长德拉吉将召开新闻发...,,2017-04-27 14:14,欧银决议重磅来袭 看投行如何交易欧元？
周四(4月27日)19：45，欧洲央行将公布最新的利率决议。市场普遍预期欧银将按兵不动，但有可能将紧缩性货币政策提上日程。,,2017-04-27 14:06,欧洲央行决议按兵不动的三大理由！
据路透报道，周四（4月27日）午后公布的调查显示，德国消费者信心在即将进入5月之际，回升力度大于预期，因相信德国经济正在...,,2017-04-27 14:03,德国5月GfK消费者信心指数升至10.2 因经济前景向好
据路透报道，新加坡金管局(MAS)周四预测，新加坡将持续温和且不均衡的经济成长，就业市场疲软、企业租金下滑及经济信心偏软...,,2017-04-27 13:43,新加坡金管局：GDP增速料将保持温和
据路透报道，周四（4月27日）亚市早盘，人民币兑美元即期走贬，中间价跌至两周新低。交易员称，尽管美国总统特朗普减税计划让...,,2017-04-27 13:41,人民币早盘走贬 短期料仍难突破区间盘整
隔夜，各界期盼已久的美国史上“规模最大的减税计划”终于揭开了神秘面纱，虽然计划存在不少亮点，但市场认为计划大纲缺乏新...,,2017-04-27 12:19,特朗普税改落地市场却不领情 今晚德拉吉的好戏将开场
北京时间周四（4月27日）日本央行结束为期两天的货币政策会议，宣布维持政策利率在-0.1%不变，符合市场预期；维持10年期国债...,,2017-04-27 11:32,日银决议维稳不变下调今年通胀预期 美/日反应平淡
周四，FXStreet首席分析师Valeria Bednarik撰文就欧元/美元最新走势进行了分析。,,2017-04-27 11:15,今日欧元/美元最新技术面分析
外界普遍预期日本央行将在周四的政策会议上按兵不动。,,2017-04-27 10:43,央行政策会议在即 日本的等待还要多久？
据路透报道，周四（4月27日）早盘，美元兑日圆守住涨幅，此前美国总统特朗普的税改计划未带来惊喜，令美元涨势停止。市场等待...,,2017-04-27 09:39,美税改计划令人失望但美元守住涨幅 聚焦欧银决议
据路透报道，欧洲央行周四料坚定维持超宽松政策立场不变，但可能表示经济增长前景好转，为发出最早在6月最终削减刺激的信...,,2017-04-27 09:22,欧银决议料维持政策不变 但可能为6月缩减刺激埋伏笔
据路透报道，多位官员称，巴西可能最快在下月决定加入经济合作暨发展组织(OECD)。巴西是拉美最大的经济体，总统特梅尔(Mic...,,2017-04-27 09:06,巴西考虑加入OECD 冀望借此安抚投资者
周四，将迎来欧洲央行利率决议，这是本周影响欧元走势重磅事件之一。投资者需要重点关注。尽管欧洲央行料不会因大选结果转...,,2017-04-27 08:42,欧银决议来袭是鹰或鸽？ 汇市该如何交易
当地时间周三下午1点30分，白宫正式公布特朗普此前宣扬的税改法案，一如此前财政部长努钦证实的那样特朗普的税收计划将联...,,2017-04-27 06:47,夜盘综述:川普发布史上最强税改计划 美国贸易保护升级
白宫就朝鲜问题发布声明，特朗普政府的高级官员周三在一份声明中称，特朗普总统希望通过更严厉的制裁和外交渠道向朝鲜施...,,2017-04-27 05:49,特朗普仍对朝核会谈持开放态度 但准备保护自己和盟友
当地时间周三下午1点3分，特朗普政府正式公布了此前宣扬的税改法案，一如此前财政部长努钦证实的那样特朗普的税收计划将...,,2017-04-27 01:52,川普税改正式浮出水面 个税7档减为3档企业税降至15%
欧洲央行预计不会在2017年4月会议上改变其政策。然而，欧洲央行经常性的会推动市场波动，这次会议也不会例外。关键在欧洲央...,,2017-04-26 23:30,法国一轮大选结果会否让德拉吉鹰声嘹亮？
法国大选第一轮投票结束后，全球市场都松了一口气。根据民调结果来看，马克宏要赢得第二轮投票已经是十拿九稳。,,2017-04-26 21:47,马克宏上台不会风平浪静 国会选举是第一道坎
北京时间周三晚间，美国财长努钦发表讲话，确认企业税将降至15%，他将于特朗普经济顾问科恩一起于美东时间下午1:30（北京时...,,2017-04-26 21:20,降低美国企业税至15%！凌晨发布会公布具体细节
周三欧盘，英镑兑美震荡元下跌，在英国周五公布第一季国内生产总值(GDP)数据前缺乏方向。,,2017-04-26 21:15,法兴：英镑兑美元可能即将见顶
前美联储主席柏南克近日接受纽约时报专访时表示，估计先前特朗普所声称的大规模减税、放松金融监管、扩大基础建设等承诺，...,美联储,2017-04-26 20:27,前美联储主席伯南克畅谈特朗普经济学
