description,label,releasetime,title
据日本共同社报道，日本政府考虑在5月2日、3日于加拿大举行的跨太平洋伙伴关系协定(TPP)首席谈判代表会议上提议，若通过不含美国的11国磋商促成TPP生效，则需要制定一个便于美国回...,"加拿大,美国",2017-4-28 13:54,日媒：日本拟提议为美国回归TPP设优惠待遇
据日媒报道，日本和俄罗斯两国政府近日达成协议，为推动日本首相安倍晋三此前提议的八项经济合作规划，两国准备在日俄首脑会谈前后签订29份协议文件及备忘录，内容涵盖政府与企业等各个层面的...,俄罗斯,2017-4-28 13:51,日俄拟签署29份合作协议及备忘录 含政企多领域
澳大利亚保健品公司澳佳宝(Blackmores，ASX:BKL)27日发布财务状况报告。报告显示公司过去九个月内销售收入达4.96亿澳元，相比前期下降6.7%，税后净收入4300万...,"税,出口",2017-4-28 13:24,澳佳宝突围策略收效 保健品出口销售额拔升60%
ACB News《澳华财经在线》报道，澳大利亚矿企Ramelius资源公司总部位于西澳珀斯地区，根据公司中期财报显示，截止2016年12月31日半年内，公司营业额同比大幅上涨38%...,"黄金,上涨",2017-4-28 13:24,招金矿业与西澳黄金集团Ramelius达成战略联盟
首届人民币全球城市对话于4月27日在悉尼举行。开幕式讲话中，新州州长Gladys Berejiklian特别强调了悉尼作为人民币交易中心近年来取得的成就。开幕式在新南威尔士州举行，...,,2017-4-28 13:23,澳大利亚新州举办首届人民币全球城市对话
如何撬动规模宏大、动辄数十亿的大型基础设施项目，资金从哪里来？答案还在探寻当中，编制预算的澳财长莫里森及他率领的国库部头顶“减赤”的压力，但是对支持基建的决心强烈，将此类项目上的融...,澳洲,2017-4-28 13:23,人口高峰与老龄化齐至 重塑澳洲基建风暴开启
在35个经合组织(OECD)经济体中，澳洲的税率是第五高的，而经合组织平均税率为24%。“川普减税计划可使美国投资增加20%以上，即4000亿美元。即使按更保守的估算，只增加5%，...,"美国,税,澳洲",2017-4-28 13:22,美国税改或可吸走千亿投资 澳洲商界呼吁同步减税
基奥认为，未来产业的发展将要求小型农场实现整合，人们要愿意拥抱新技术，适应新的、较密集的生产体系。中国目前是澳洲农产品最大的出口市场。排在第二位的美国，重要性大约只有中国的一半。基...,"美国,中国,出口,澳洲",2017-4-28 13:21,只养其牛不取其地 中澳农业投资的N种方式
该计划还将取消根据“奥巴马医改计划”对股息和资本收益征收的3.8%的税，科恩说这项税收直接打击了投资收入以及小型企业。科恩说，白宫计划取消主要令富人受益的减税政策。但是，对房贷、慈...,"房贷,税,白宫",2017-4-28 13:06,外媒：美政府公布史上最大减税方案 或会加剧贸易逆差
尼日利亚总统穆罕默德·布哈里正在寻求议会批准，从中国进出口银行贷款近60亿美元，用于修建铁路工程。尼日利亚政府试图通过大规模基建项目开支，重振受到石油市场衰退影响的经济。这笔贷款中...,"中国,出口",2017-4-28 11:05,尼日利亚拟向中国贷款60亿美元升级铁路
美国总统特朗普26日表示，目前他不会终止美国与加拿大、墨西哥签订的北美自由贸易协定，而是会与这两个国家就该协定重新谈判。美国白宫发表声明说，三国领导人同意根据各自国内程序快速推进北...,"加拿大,美国,白宫",2017-4-28 11:02,特朗普：不会终止北美自由贸易协定
在“一带一路”峰会即将召开之际，我国与沿线国家的贸易往来成为各界关注的焦点。,我国,2017-4-28 09:42,“一带一路”沿线贸易增长近三成
据外媒消息，欧洲央行于北京时间27日晚间公布主要再融资利率、隔夜贷款利率和隔夜存款利率。欧洲央行维持主要再融资利率0.0%不变，符合预期；维持隔夜贷款利率0.25%不变，符合预期；...,欧洲央行,2017-4-28 09:14,欧洲央行维持利率不变 每月QE规模调整为600亿欧元
今年春天，雄安新区的横空出世，令钢铁股再度成为市场热点。4月上半月接连收红后，A股钢铁板块拱出了约8%的涨幅。而就在A股“钢铁侠”逐渐销声匿迹的时候，国际市场上钢铁股又接力大涨。上...,钢铁,2017-4-28 07:56,国内黑色系仍是热点 外围钢铁巨头显著反弹
美国钢铁公司(U.S. Steel Corp.)26日在美股市场交易中大幅下跌26.78%至22.78美元，创下该公司自1991年4月份挂牌上市以来的最大单日百分比跌幅。,"钢铁,美国,股市",2017-4-28 07:40,美国钢铁股价大跌近三成
瑞银财富管理在27日最新发布的报告中指出，法国总统大选第一轮过后，该机构将勒庞当选的概率从40%下调至25%，并重新审视了黄金价格预测，短线看空黄金前景，金价还可能因美国国债收益率...,"黄金,美国",2017-4-28 07:39,瑞银财富管理短线看空黄金
德意志银行27日公布的2017年一季度业绩报告显示，当季该行实现净利润5.75亿欧元，同比上涨143%。,"德意志银行,上涨",2017-4-28 07:38,德银上季度净利同比增143%
富兰克林邓普顿在27日发布的报告中指出，经过第一轮投票以后，大部分分析人士认为马克龙将成为新一任法国总统。然而，近年在国际舞台上出现的“黑天鹅”事件如英国脱欧及特朗普当选都令投资者...,"英国,脱欧",2017-4-28 07:38,需防法国出现“黑天鹅”
26日，加拿大最大的非银行房贷供应商Home Capital Group宣布将举债20亿加元作为紧急流动性贷款，因为其高利储蓄账户存款额从3月28日至4月24日急速减少了5.91亿...,"房贷,加拿大",2017-4-28 07:37,加拿大房贷供应商股价重挫
【一季度财报好于预期 推特活跃用户快速增长】4月26日，美国社交网络公司推特(Twitter)发布了其2017年第一季度财报。财报显示，该公司一季度的营收同比下降8%至5.48亿美...,美国,2017-4-28 07:36,一季度财报好于预期 推特活跃用户快速增长
欧洲央行在27日的货币政策例会上按兵不动，符合市场此前预期。分析人士指出，随着一些不确定因素暂时降温，欧央行短期将采取观望战略，特别是立即加息的可能性较小。,欧洲央行,2017-4-28 07:36,欧央行货币政策暂难加速收紧
